Trial,Sortino Ratio,Std Dev,Upside Dev,Downside Dev,Skewness,Kurtosis
1,6.902522054433415,159.47439172802584,142.74677972480254,94.37017040483286,0.6068565793419757,1.2081173954191176
2,-5.055686051079163,210.85454764624274,98.42090644347849,187.73629383046864,-0.9953061048799474,0.9006568703800046
3,-1.111403200485281,277.0203871538402,129.16752763566865,178.13768658714798,-0.07796572763857858,-0.2617494617709628
4,-0.9784288787193515,246.39101878679804,175.03457347522533,163.63862563987743,0.025735873585074127,0.3746201033644794
5,6.315286163439362,252.20639477758345,171.31431311078885,144.1729561315929,0.10795078185346998,-0.31046496252236055
6,-2.1275353963933186,186.8452645570188,152.80896519107785,118.96452718439726,0.3614489417787789,1.1045986267221863
7,1.0190827946217964,193.52733433897154,130.08510403206967,129.89041219082208,-0.029108801264641746,0.009718167283480295
8,10.978342603510827,291.9083997420716,224.16527637280882,109.77684961431177,0.7471962314850719,-0.5146611603974778
9,12.93267303972028,197.11785245286035,171.08665623194716,102.49839580175995,0.5177832130974923,-0.04648113255613939
10,1.1410366778067285,266.0277625267632,204.92654551905972,136.43366425278595,0.6934004889200789,0.2992955967086841
999999,3.0015889806855296,228.13733537101757,159.9756647736927,136.5619581637997,0.1957991476278774,0.2763650042631012
