Trial,Acc. Value,Return %,Total PnL,Fees,Win Rate,Biggest Win,Biggest Loss,Sharpe,Std Dev %,No of Trades
1,9680.279117099995,-3.197208829000046,-193.21501590000173,126.505867,39.130434782608695,269.84831999999983,-577.9574280000014,-1.5459495730199269,1.7660429606615051,23
2,8491.86385114999,-15.081361488500097,-1301.5345720000098,206.60157685,54.54545454545454,468.4098249999991,-1630.7863100000038,-3.9055773232816886,3.9148819483727513,22
3,9823.7614332,-1.7623856680000063,73.56334684999611,249.80191365000005,38.46153846153847,616.777694999999,-1092.796800000003,-0.16886085278951066,3.0842853337549974,26
4,9787.222197399991,-2.127778026000087,-65.0056545000066,147.77214810000004,42.857142857142854,369.3669749999994,-390.56889060000015,-0.7300671536003341,2.145487543108586,21
5,7048.514919100008,-29.514850808999917,-2749.990590499995,201.4944904,36.36363636363637,332.2631000000003,-1591.7462999999968,-8.634412777891939,3.5933097936238543,22
6,8860.850539499996,-11.391494605000045,-988.4739715000021,150.67548900000006,36.84210526315789,534.4425899999994,-781.0148835000002,-5.342459043064295,2.3748333156044907,19
7,10072.37089245,0.7237089245000061,205.73288844999945,133.36199599999998,51.85185185185185,279.930999999999,-277.83213900000015,0.971897560768585,1.4310057141263766,27
8,6013.448706699998,-39.86551293300002,-3784.6260215500024,201.92527175000006,35.714285714285715,176.32984499999924,-1848.023730000001,-8.302545857855003,4.541994640932632,28
9,8838.426050399996,-11.615739496000042,-817.3463617500008,344.22758784999996,57.89473684210527,1463.5337599999998,-1911.0481500000055,-1.5566121968193758,7.489508233923112,19
10,10463.155944750006,4.6315594475000585,572.5801041500063,109.42415939999998,58.82352941176471,290.7177750000002,-191.95837499999973,5.104216900475625,1.2713032109465108,17
999999,8907.989365174999,-10.92010634825002,-904.8315848250015,187.17905000000002,45.24847160935464,480.1620884999996,-1029.3733006100013,-2.4110370317077865,3.1612652695054817,22
