Trial,Sortino Ratio,Std Dev,Upside Dev,Downside Dev,Skewness,Kurtosis
1,7.7126965525235365,182.23074220686573,166.210660306914,95.60034800782462,0.7985699722530469,0.47096387760761393
2,4.590925193036609,166.71455688670247,126.04542115986892,131.7433874586718,-0.24259890649291152,1.4169236860963101
3,1.1241548056883903,205.11169188536772,191.20794706354621,116.22568381050644,0.8681551300693795,2.0905759702310682
4,5.011756816946885,333.8024101880011,269.52075414595816,164.6434715686535,0.6690492950794653,0.161423540829428
5,-5.384244944635352,111.01839631257836,86.18720795909476,75.66679222235732,0.29760137777478324,0.3912679852070462
6,1.0304471928401897,250.89068216253818,164.34317701357242,177.502800988627,-0.15907600938541347,0.26254307221602735
7,5.640010811147915,232.7555465644238,225.88272393913047,106.43675625824177,1.3112741119814957,1.5321609118853585
8,-2.9144266896104534,229.52726726067056,92.73474592689803,182.40397567559205,-0.6408429326396617,-0.16967712053455974
9,-2.011340362841046,194.91006200050043,101.75112842298239,150.62165165923298,-0.4592758148470393,-0.2817317181439609
10,-6.817456074873282,245.99642152732915,317.4635992676172,152.69384907908625,1.3929474176128442,5.2488440068716375
999999,0.7982523300223394,215.29577769949773,174.13473652055825,135.3538716728794,0.38358036414059893,1.112329421226597
