Trial,Sortino Ratio,Std Dev,Upside Dev,Downside Dev,Skewness,Kurtosis
1,-1.3856246008763258,176.6042960661505,86.77605208504788,139.44254149197744,-1.1158982054119846,2.8600860535046326
2,-2.807438026099458,391.4881948372751,124.66576868299187,463.602245143167,-2.988398203831054,10.033731099559864
3,0.2830818689669211,308.42853337549974,211.30964669076397,259.86597841274033,-1.2018391271607232,4.884036436581362
4,-0.6089842827823944,214.54875431085858,131.2041232728033,106.7443878896211,0.2820859426026987,-0.6110136052751529
5,-7.324164994040552,359.33097936238545,109.8771410172716,375.46813769727714,-3.1106052962903847,10.87205825680796
6,-4.8635862981666795,237.48333156044905,174.9560775119749,203.2397311162353,-0.7584224293986654,4.373453852525848
7,2.2654766071728702,143.10057141263766,90.258864921642,90.81218839277149,-0.08724085860876186,-0.4777278421518112
8,-7.3006575160152964,454.19946409326326,58.97466986306597,518.3952285458877,-3.113687131153472,8.424257096300165
9,-1.279958524921615,748.9508233923111,487.8939189868324,638.5725364031271,-0.46417092675429,1.4875097630628948
10,9.485253757516574,127.13032109465108,73.58548979625685,60.36529109158161,0.02640966056690247,-0.5906842396345389
999999,-1.3536602009245957,316.12652695054817,154.95017528286505,285.6508266184386,-1.2531766575439736,4.125570687128122
