Coin,Avg Upside Capture,Avg Downside Capture,Upside Std Dev,Downside Std Dev,Trials
BTC,171.28170508616697,148.4057445489576,168.11198770144435,150.3167692005395,10
ETH,298.0005594757726,323.47277147953366,126.9916376005446,140.3355882193938,10
SOL,511.8872980478609,394.2724423972565,178.20425366324847,102.8243840439177,10
BNB,331.3050772482458,430.88558392362364,241.03848794125537,155.88340821980273,10
XRP,262.0267732309621,437.98722401946407,152.18100517402385,199.1341363944785,10
DOGE,117.35250002127307,312.3533901455339,125.48413903073705,141.77691653977726,10
