Coin,Avg Upside Capture,Avg Downside Capture,Upside Std Dev,Downside Std Dev,Trials
BTC,446.66387098447376,404.2930217798624,120.2689932329454,68.62102226678122,10
ETH,330.91507973783223,366.7779427436206,61.62443750871311,78.40484134876365,10
SOL,333.7342961815406,401.127091487073,84.38653446367354,89.45313156633033,10
BNB,554.7376777898284,572.4106592730793,147.60030841278802,171.82443166119367,10
XRP,208.68528764454112,280.24525798723596,134.218503942582,129.87141946526972,10
DOGE,119.22103575174317,124.12462478893238,137.95313566726935,109.46576449705834,10
