Coin,Trades,Total P&L,Win Rate,Avg P&L/Trade,Best Trade,Worst Trade
ETH,62,9896.29431250001,38.70967741935484,159.61765020161306,5610.378000000001,-864.9667025
SOL,60,2349.5489413000087,48.333333333333336,39.15914902166681,3214.8503282000015,-1371.1312499999979
DOGE,30,392.5670896950006,40,13.08556965650002,1175.7101999999957,-777.6068749999976
BNB,41,-133.87770505000577,53.65853658536586,-3.2653098792684334,368.52829999999966,-991.7595000000082
BTC,28,-2779.23395545,42.857142857142854,-99.25835555178571,216.070125,-1412.41464
XRP,38,-4758.654524100005,28.947368421052634,-125.22775063421065,873.999509999996,-1562.1526647000005
