Trial,Acc. Value,Return %,Total PnL,Fees,Win Rate,Biggest Win,Biggest Loss,Sharpe,Std Dev %,No of Trades
1,10595.267338999998,5.9526733899999815,737.3364744999993,142.06913550000002,50,440.31555000000003,-329.10610000000054,3.5361593712808577,1.8223074220686573,30
2,10481.416928999995,4.814169289999954,604.8240364999997,123.4071075,56.52173913043478,390.8701,-413.681625,3.6695848679867122,1.6671455688670247,23
3,9994.793714500001,-0.05206285499998557,130.65566100000015,135.86194650000002,40,611.0453750000012,-451.6527500000004,0.36031809667484815,2.051116918853677,25
4,10762.893088500003,7.628930885000027,825.1530409999998,62.259952500000004,41.66666666666667,768.75125,-472.1760000000005,3.8675279895150183,3.3380241018800114,12
5,9507.542765999993,-4.924572340000068,-407.4085435000009,85.0486905,27.77777777777778,225.60825,-233.69950000000054,-6.197961669546288,1.1101839631257837,18
6,9990.354231999998,-0.09645768000002135,182.90726300000154,192.55303099999998,50,569.6594500000001,-541.4414999999998,0.32526645976502216,2.508906821625382,32
7,10500.288293,5.002882929999996,600.3044559999992,100.01616299999999,50,663.0226249999997,-266.27470000000034,2.6874084183587272,2.327555465644238,22
8,9384.447708000003,-6.155522919999966,-531.6030150000014,83.94927699999998,37.5,293.6924,-525.18155,-3.493641305078768,2.2952726726067056,16
9,9619.237767500006,-3.8076223249999384,-302.9514074999993,77.81082500000001,53.333333333333336,308.8291,-433.1531999999998,-2.9104800975681884,1.9491006200050045,15
10,8860.889009000002,-11.391109909999978,-1040.9836090000006,98.12738200000001,16.666666666666664,825.0964544999988,-525.18155,-5.655098721204787,2.4599642152732915,24
999999,9969.71308465,-0.3028691535,79.82343569999973,110.11035105,42.34661835748792,509.68905544999996,-419.15484750000024,-0.38109165898168434,2.152957776994978,21
