Coin,Avg Upside Capture,Avg Downside Capture,Upside Std Dev,Downside Std Dev,Trials
BTC,179.4028924672662,198.6034374023815,129.44115495316638,139.185073116036,10
ETH,316.8623610200302,380.67848274657,142.52454655567533,140.7166007573863,10
SOL,463.5918337420197,316.5049182472378,158.69632201743875,108.77999657685704,10
BNB,246.67584051591356,363.28287561107317,105.78035978334819,139.87263163518764,10
XRP,261.2863291100244,396.8181351918968,147.6163558127869,240.80241535604614,10
DOGE,148.52920196257702,259.02735710366704,118.4434559621015,162.3364001977395,10
