Trial,Sortino Ratio,Std Dev,Upside Dev,Downside Dev,Skewness,Kurtosis
1,27.66931161153576,895.2402870384204,1132.7922675991963,202.82211291752216,2.6037456870209796,5.74140272617632
2,-8.36399527663567,243.56183643029365,123.52284378925442,185.65501566430865,-0.20590589533759526,-0.4667766896565486
3,-6.605718859208955,169.45786644539982,62.339277627220085,173.8176622139043,-3.1267008017237936,11.948454164777788
4,67.72486255185407,569.0872863858457,647.6959704182484,88.60509178886053,2.3853999085951765,6.112649473901746
5,-8.102579023827282,386.52041173107045,109.40893967874035,389.51444540916214,-1.945028261436535,3.3697789310397237
6,-3.4350543771125635,434.0778532925464,114.53882279800844,448.8592884651971,-1.3832629263920433,0.4870519213352438
7,0.6715230354740421,223.00742523083974,157.3594355016921,158.37734914770968,-0.38905069337241,1.778997839194961
8,-5.928602770718562,510.0211450234622,174.8225220343208,550.5420213967902,-1.6480391213264387,2.1426483453957994
9,-1.0675427515270723,150.8203808653372,128.72741496304945,100.32763249695815,0.34551659621183667,1.7203407080729622
10,21.64744258534085,1178.1724025813073,1537.1687342080227,248.9576141063199,3.9492682556774916,15.630185670252594
999999,8.420964672517462,475.99668950245234,418.83762286177534,254.7478233606733,0.05859427479166683,4.846473309049059
