Coin,Avg Upside Capture,Avg Downside Capture,Upside Std Dev,Downside Std Dev,Trials
BTC,466.69858546300236,405.8516530270848,199.70482532997448,120.4264396663534,10
ETH,363.2740575024297,326.03654172476985,160.76737578221147,88.65254955415602,10
SOL,332.40080122341726,355.30092779806625,185.75280511656393,149.44401454469042,10
BNB,217.64061998965002,220.22754689989893,126.5182305595083,144.67733085454262,10
XRP,281.68904517076214,283.47276124947524,165.46933169080665,184.89602441071185,10
DOGE,207.7095719324242,216.38715676846113,131.72479033653943,130.90063665745564,10
