Coin,Trades,Total P&L,Win Rate,Avg P&L/Trade,Best Trade,Worst Trade
BNB,29,875.3283750000012,55.172413793103445,30.18373706896556,271.54850000000044,-43.197150000000136
BTC,52,736.7013650000001,40.38461538461539,14.167333942307694,768.75125,-525.18155
XRP,26,305.98596150000003,53.84615384615385,11.768690826923079,240.79719999999986,-101.24399999999979
DOGE,24,178.94488849999988,50,7.456037020833328,75.10954999999991,-33.81425000000005
SOL,40,-511.61168000000004,30,-12.790292,216.01454999999993,-201.52875000000063
ETH,46,-1338.0034205000034,39.130434782608695,-29.087030880434856,825.0964544999988,-541.4414999999998
