Trial,Acc. Value,Avg Trade Size,Median Trade Size,Avg Hold (hrs),Median Hold (hrs),% Long,Expected Value,Median Leverage,Avg Leverage
1,9680.279117099995,6249.566140909091,5016.835,34.54545454545455,12,95.65217391304348,-8.400652865217467,15,13.5
2,8491.86385114999,8381.674333333332,5979.415,29.333333333333332,8,95.45454545454545,-59.16066236363681,15,14.476190476190476
3,9823.7614332,9581.348252000002,4997.72,18.4,12,96.15384615384616,2.8293594942306197,15,14.76
4,9787.222197399991,8650.5461,7485.395,34.4,20,95.23809523809523,-3.0955073571431715,15,14.55
5,7048.514919100008,9336.902666666667,6743.214,30.666666666666668,8,95.45454545454545,-124.99957229545431,15,14.428571428571429
6,8860.850539499996,7361.48877777778,3213.804,43.333333333333336,16,94.73684210526315,-52.02494586842116,15,14.38888888888889
7,10072.37089245,5149.174744444445,5669.3,25.77777777777778,12,100,7.619736609259239,15,14.555555555555555
8,6013.448706699998,6532.481929629628,4056.8,15.25925925925926,8,96.42857142857143,-135.16521505535724,15,13.962962962962964
9,8838.426050399996,16065.018583333333,6278.35,32.44444444444444,12,94.73684210526315,-43.01822956578952,15,14.166666666666666
10,10463.155944750006,6418.2701,5059.86,20.941176470588236,12,100,33.68118259705919,15,14.352941176470589
999999,8907.989365174999,8372.647162809428,5450.069300000001,28.510144583085758,12,96.38554618531734,-38.173450667047064,15,14.314177715530656
