Trial,Acc. Value,Return %,Total PnL,Fees,Win Rate,Biggest Win,Biggest Loss,Sharpe,Std Dev %,No of Trades
1,15161.731433200013,51.61731433200013,5611.948244025013,450.216810825,43.47826086956522,3214.8503282000015,-777.6068749999976,6.48228355216736,8.952402870384205,23
2,8308.891228350001,-16.91108771649999,-1552.8176740999988,138.29109755000002,36.36363636363637,430.12897999999996,-549.1974749999999,-7.2912859457079655,2.4356183643029365,22
3,8732.054192449998,-12.679458075500024,-1148.1906093499995,119.75519820000001,34.61538461538461,191.91249,-781.0148835000002,-7.180063106885927,1.6945786644539982,26
4,15559.102645804991,55.59102645804991,6000.767662794994,441.6650169900001,46.875,2442.600420000003,-346.5225599999999,9.220091862570845,5.6908728638584565,32
5,6583.911928950008,-34.160880710499924,-3156.0715748499942,260.01649619999995,30.76923076923077,368.52829999999966,-1371.1312499999979,-8.511408733270413,3.8652041173107046,26
6,8188.759615449995,-18.112403845500047,-1541.856063550006,269.384321,64.70588235294117,347.15488500000004,-1042.0597499999985,-4.782062633011899,4.340778532925464,17
7,9928.547150410004,-0.7145284958999581,106.3540382500022,177.80688784000003,37.93103448275862,472.03375000000045,-673.1425335,0.07443182473610392,2.2300742523083974,29
8,6413.118790349988,-35.86881209650012,-3263.944953450008,322.9362562,48.148148148148145,698.5223999999986,-1562.1526647000005,-6.59822282993674,5.100211450234622,27
9,9733.4745827,-2.665254172999994,-107.10403684999962,159.42138045,41.935483870967744,355.32393999999994,-408.9313799999991,-1.1358911796404385,1.508203808653372,31
10,14989.169191700008,49.89169191700008,5389.295657550004,400.12646584999993,46.15384615384615,5610.378000000001,-939.5482949999968,4.409334901005892,11.781724025813073,26
999999,10359.8760759365,3.5987607593650077,633.8380690470008,273.9619931105,43.097590762647876,1413.1433493200004,-845.1307666699989,-1.531279228797318,4.759966895024523,25
