Trial,Acc. Value,Return %,Total PnL,Fees,Win Rate,Biggest Win,Biggest Loss,Sharpe,Std Dev %,No of Trades
1,10506.62475,5.066247500000009,651.3921824999984,144.76743250000004,48,432.11145000000005,-340.64140000000054,4.213603123410092,1.5947439172802582,25
2,8923.091228,-10.769087720000007,-949.1357619999993,127.77301,35,313.5487000000011,-541.4414999999998,-5.655026800991033,2.108545476462427,20
3,9630.439697999996,-3.695603020000035,-197.98279500000018,171.577507,32,472.03375000000045,-541.4414999999998,-1.145822202789856,2.7702038715384023,25
4,9674.042311499994,-3.2595768850000604,-160.108757000001,165.8489315,37.03703703703704,517.3489900000005,-541.4414999999998,-1.0541861333027698,2.46391018786798,27
5,10786.684347499997,7.8668434749999685,910.4934749999989,123.80912750000002,50,538.3732499999991,-459.7818000000004,4.342514046764274,2.5220639477758344,18
6,9594.102602000004,-4.058973979999955,-253.10124250000035,152.79615550000005,30.76923076923077,471.00245,-431.5546250000012,-1.8441839303271903,1.868452645570188,26
7,9990.816705499998,-0.09183294500002376,132.36908425000001,141.55237875000003,50,387.6945,-411.38262500000064,0.36307601778001763,1.9352733433897156,24
8,11042.220435000003,10.42220435000003,1205.167865,162.94743,40.909090909090914,652.566125000001,-336.0950000000009,4.589220449839375,2.919083997420716,22
9,11228.607859999998,12.286078599999982,1325.5782399999994,96.97038,54.54545454545454,440.31555000000003,-345.2437000000009,7.563608917916167,1.9711785245286033,22
10,10020.175759999996,0.20175759999996445,155.67581499999747,135.500055,28.57142857142857,641.7919999999991,-451.6527500000004,0.4031593931883564,2.660277625267632,21
999999,10139.680569749999,1.3968056974999876,282.03481052499933,142.35424077500002,40.68322418322418,486.67867650000017,-440.0676400000004,1.1775962881487434,2.2813733537101757,23
