Coin,Trades,Total P&L,Win Rate,Avg P&L/Trade,Best Trade,Worst Trade
BTC,60,1933.7539250000004,46.666666666666664,32.22923208333334,471.00245,-525.18155
SOL,43,954.5349749999972,32.55813953488372,22.19848779069761,641.7919999999991,-201.52875000000063
DOGE,12,221.87166499999972,50,18.489305416666642,112.35089999999992,-37.370975000000094
BNB,38,596.2490000000043,34.21052631578947,15.690763157894851,438.46500000000094,-96.1295
XRP,22,-67.34541274999974,40.909090909090914,-3.061155124999988,28.461909999999992,-103.57144999999973
ETH,55,-1531.3700600000088,41.81818181818181,-27.843092000000162,652.566125000001,-541.4414999999998
